Month,Dollars (in Millions)
Jan-92,3519
Feb-92,3803
Mar-92,4332
Apr-92,4251
May-92,4661
Jun-92,4811
Jul-92,4448
Aug-92,4451
Sep-92,4343
Oct-92,4067
Nov-92,4001
Dec-92,3934
Jan-93,3652
Feb-93,3768
Mar-93,4082
Apr-93,4101
May-93,4628
Jun-93,4898
Jul-93,4476
Aug-93,4728
Sep-93,4458
Oct-93,4004
Nov-93,4095
Dec-93,4056
Jan-94,3641
Feb-94,3966
Mar-94,4417
Apr-94,4367
May-94,4821
Jun-94,5190
Jul-94,4638
Aug-94,4904
Sep-94,4528
Oct-94,4383
Nov-94,4339
Dec-94,4327
Jan-95,3856
Feb-95,4072
Mar-95,4563
Apr-95,4561
May-95,4984
Jun-95,5316
Jul-95,4843
Aug-95,5383
Sep-95,4889
Oct-95,4681
Nov-95,4466
Dec-95,4463
Jan-96,4217
Feb-96,4322
Mar-96,4779
Apr-96,4988
May-96,5383
Jun-96,5591
Jul-96,5322
Aug-96,5404
Sep-96,5106
Oct-96,4871
Nov-96,4977
Dec-96,4706
Jan-97,4193
Feb-97,4460
Mar-97,4956
Apr-97,5022
May-97,5408
Jun-97,5565
Jul-97,5360
Aug-97,5490
Sep-97,5286
Oct-97,5257
Nov-97,5002
Dec-97,4897
Jan-98,4577
Feb-98,4764
Mar-98,5052
Apr-98,5251
May-98,5558
Jun-98,5931
Jul-98,5476
Aug-98,5603
Sep-98,5425
Oct-98,5177
Nov-98,4792
Dec-98,4776
Jan-99,4450
Feb-99,4659
Mar-99,5043
Apr-99,5233
May-99,5423
Jun-99,5814
Jul-99,5339
Aug-99,5474
Sep-99,5278
Oct-99,5184
Nov-99,4975
Dec-99,4751
Jan-00,4600
Feb-00,4718
Mar-00,5218
Apr-00,5336
May-00,5665
Jun-00,5900
Jul-00,5330
Aug-00,5626
Sep-00,5512
Oct-00,5293
Nov-00,5143
Dec-00,4842
Jan-01,4627
Feb-01,4981
Mar-01,5321
Apr-01,5290
May-01,6002
Jun-01,5811
Jul-01,5671
Aug-01,6102
Sep-01,5482
Oct-01,5429
Nov-01,5356
Dec-01,5167
Jan-02,4608
Feb-02,4889
Mar-02,5352
Apr-02,5441
May-02,5970
Jun-02,5750
Jul-02,5670
Aug-02,5860
Sep-02,5449
Oct-02,5401
Nov-02,5240
Dec-02,5229
Jan-03,4770
Feb-03,5006
Mar-03,5518
Apr-03,5576
May-03,6160
Jun-03,6121
Jul-03,5900
Aug-03,5994
Sep-03,5841
Oct-03,5832
Nov-03,5505
Dec-03,5573
Jan-04,5331
Feb-04,5355
Mar-04,6057
Apr-04,6055
May-04,6771
Jun-04,6669
Jul-04,6375
Aug-04,6666
Sep-04,6383
Oct-04,6118
Nov-04,5927
Dec-04,5750
Jan-05,5122
Feb-05,5398
Mar-05,5817
Apr-05,6163
May-05,6763
Jun-05,6835
Jul-05,6678
Aug-05,6821
Sep-05,6421
Oct-05,6338
Nov-05,6265
Dec-05,6291
Jan-06,5540
Feb-06,5822
Mar-06,6318
Apr-06,6268
May-06,7270
Jun-06,7096
Jul-06,6505
Aug-06,7039
Sep-06,6440
Oct-06,6446
Nov-06,6717
Dec-06,6320
