Year,"Coal Production, Short Tons in Thousands"
1949,480570
1950,560388
1951,576335
1952,507424
1953,488239
1954,420789
1955,490838
1956,529774
1957,518042
1958,431617
1959,432677
1960,434329
1961,420423
1962,439043
1963,477195
1964,504182
1965,526954
1966,546822
1967,564882
1968,556706
1969,570978
1970,612661
1971,560919
1972,602492
1973,598568
1974,610023
1975,654641
1976,684913
1977,697205
1978,670164
1979,781134
1980,829700
1981,823775
1982,838112
1983,782091
1984,895921
1985,883638
1986,890315
1987,918762
1988,950265
1989,980729
1990,1029076
1991,995984
1992,997545
1993,945424
1994,1033504
1995,1032974
1996,1063856
1997,1089932
1998,1117535
1999,1100431
2000,1073612
2001,1127689
2002,1094283
2003,1071753
2004,1112099
2005,1133253
